연도,자치구,주택유형,경과연수,노후주택수
2017,송파구,연립주택,30년 이상,216
2017,강동구,연립주택,30년 이상,938
2017,종로구,다세대주택,30년 이상,547
2017,중구,다세대주택,30년 이상,353
2017,용산구,다세대주택,30년 이상,2129
2017,성동구,다세대주택,30년 이상,538
2017,광진구,다세대주택,30년 이상,726
2017,동대문구,다세대주택,30년 이상,1290
2017,중랑구,다세대주택,30년 이상,1123
2017,성북구,다세대주택,30년 이상,848
2017,강북구,다세대주택,30년 이상,1415
2017,도봉구,다세대주택,30년 이상,1017
2017,노원구,다세대주택,30년 이상,667
2017,은평구,다세대주택,30년 이상,4445
2017,서대문구,다세대주택,30년 이상,2744
2017,마포구,다세대주택,30년 이상,3527
2017,양천구,다세대주택,30년 이상,2692
2017,강서구,다세대주택,30년 이상,1610
2017,구로구,다세대주택,30년 이상,1687
2017,금천구,다세대주택,30년 이상,917
2017,영등포구,다세대주택,30년 이상,744
2017,동작구,다세대주택,30년 이상,1927
2017,관악구,다세대주택,30년 이상,2549
2017,서초구,다세대주택,30년 이상,1349
2017,강남구,다세대주택,30년 이상,1779
2017,송파구,다세대주택,30년 이상,1930
2017,강동구,다세대주택,30년 이상,2344
2018,종로구,단독주택,20년~30년미만,2652
2018,중구,단독주택,20년~30년미만,1669
2018,용산구,단독주택,20년~30년미만,4511
2018,성동구,단독주택,20년~30년미만,5071
2018,광진구,단독주택,20년~30년미만,8201
2018,동대문구,단독주택,20년~30년미만,7236
2018,중랑구,단독주택,20년~30년미만,10547
2018,성북구,단독주택,20년~30년미만,8165
2018,강북구,단독주택,20년~30년미만,7778
2018,도봉구,단독주택,20년~30년미만,4416
2018,노원구,단독주택,20년~30년미만,2319
2018,은평구,단독주택,20년~30년미만,6976
2018,서대문구,단독주택,20년~30년미만,4819
2018,마포구,단독주택,20년~30년미만,5385
2018,양천구,단독주택,20년~30년미만,4496
2018,강서구,단독주택,20년~30년미만,5285
2018,구로구,단독주택,20년~30년미만,5853
2018,금천구,단독주택,20년~30년미만,3867
2018,영등포구,단독주택,20년~30년미만,6951
2018,동작구,단독주택,20년~30년미만,6299
2018,관악구,단독주택,20년~30년미만,9361
2018,서초구,단독주택,20년~30년미만,2557
2018,강남구,단독주택,20년~30년미만,3566
